word,count
explodiert,8
haus,2011
gauner,4
wird,4297
gebaut,473
hingemacht,19
wagen,433
andere,2253
wald,193
keine,3486
krach,137
flügel,151
bauen,1615
dranbauen,12
ügenau,1
klappt,320
los,1651
nung,1
dong,27
wäre,1218
gelandet,76
räder,400
ausgeklappt,6
eingeklappt,1
rumm,5
hätten,165
damit,3062
fahren,3001
müssen,4969
kanonenjagd,1
gehen,2705
klötzchen,29
nüm,1
bo,53
scheiss,2
bum,103
verschieb,3
gewehr,15
filme,33
peng,54
eij,39
passt,2119
euch,907
abends,204
morgens,195
umso,8
heißt,2466
ferkel,165
komisch,330
drüwwe,3
och,1865
lässt,319
kanülenbox,1
fertig,2542
habe,3628
geholt,223
gehabt,744
gestunken,17
tun,1506
hah,25
päng,4
irgandwas,1
müffelt,2
glaub,1314
dachte,852
allen,242
seiten,89
geschossen,33
bei,5048
eben,1452
video,43
hör,989
draus,27
langes,97
eisenbahn,990
waggon,51
brumm,445
zug,1679
fährt,2582
rotes,158
unfair,7
gelbes,116
habt,1815
geteilt,11
zimmer,560
große,1397
kiste,394
steinen,52
hol,1386
legoschiff,2
kran,231
kranchen,1
gesichert,5
uh,522
deiner,661
arg,119
gehauen,41
kopf,1250
videokamera,30
lust,395
baum,953
uznd,1
bät,1
gerade,3393
herein,46
gesehen,1900
kameramann,4
tablett,24
sprachlos,10
abnimmt,1
null,172
patrone,6
echte,51
kracht,21
holen,1362
im,7471
schrank,493
geh,1422
erst,4027
nachher,1559
überhaupt,932
spulen,2
isn,98
anschauen,113
lieblingsbuch,4
huhn,453
grosse,275
dicke,271
sch,475
bimmelbahn,48
muh,155
säge,51
nichts,2308
postkarte,19
fabi,1
karte,633
piekst,40
aua,1696
nimmst,534
lieber,1335
auseinandermachen,18
zugeleimt,1
laufen,569
übern,9
berg,187
wauwau,513
schmusemaus,3
pa,36
schublade,172
verdacht,24
maus,1473
dass,4416
hose,989
stimmt,1842
oktober,31
verstaut,6
bautz,41
oho,72
runtergefallen,384
indianermädchen,1
elefanten,280
zoo,754
arme,421
gehämmert,5
telefon,769
nachmachen,14
auto,4959
e,2109
stift,317
dr,8
guckt,706
bilderbücher,62
dazwischen,283
kätzchen,84
un,1200
becher,338
angeschaut,37
banane,224
deine,3068
a,1416
solche,302
haare,688
feine,52
könnte,890
zotteldinger,1
drei,2245
ditzis,1
ditzi,3
schwierig,448
mädchen,716
isst,1109
stuhl,893
