form,deprel,count
nein,advmod,2718
ziehen,root,699
ne,root,5448
ne,flat,188
war,cop,7621
der,nsubj,19545
ist,ccomp,1868
dann,advmod,27170
hält,parataxis,19
besser,advmod,1202
nein,obj,290
ziehen,xcomp,48
caroline,obj,165
ihre,det,397
schnuller,obj,74
wiederentdeckt,root,1
die,obj,8654
nehm,root,300
des,root,230
po,nmod,21
triumph,root,1
gibst,xcomp,12
mir,iobj,4316
einen,det,8422
liebe,obj,21
gib,root,1638
is,nmod,37
schatz,appos,101
einen,appos,43
liebe,appos,9
oder,cc,10797
ja,conj,37
ah,advmod,2941
jej,flat,1
nein,nsubj,674
liebe,root,94
dizi,root,2
dizi,flat:name,1
ähe,root,2
fürn,case,29
markus,nmod,12
einen,conj,31
möchtest,root,623
möchtest,parataxis,12
mh,iobj,7
hast,parataxis,218
guck,xcomp,208
ist,conj,488
tu,nsubj,24
tu,conj,49
vorsicht,obj,32
fingerchen,obj,8
schau,parataxis,87
kannst,ccomp,100
ran,compound:prt,211
des,nmod,159
einfach,advmod,1906
wegschmeissen,csubj,1
geht,root,7719
aber,advmod,7974
pünktchen,xcomp,3
na,cc,4574
weg,root,794
des,obj,845
direkt,advmod,191
malen,conj,53
hin,case,174
schatz,obl,36
guck,parataxis,587
mhm,advmod,183
schön,root,1400
gesagt,root,1879
haben,ccomp,636
liegt,root,929
es,nsubj,16635
durch,case,1259
tunnel,obl,198
wo,advmod,7223
geht,conj,365
hin,compound:prt,5123
wundert,conj,3
sich,expl:pv,2049
jens,nsubj,4
brr,root,194
also,advmod,3089
was,appos,671
weiter,root,330
ah,root,2354
häh,root,77
brauchst,root,874
dich,obj,3892
erschrecken,xcomp,4
film,xcomp,3
gelle,root,197
geben,root,705
corinna,root,288
stefan,nsubj,173
mh,advmod,98
macht,root,6573
stafan,nsubj,1
her,compound:prt,3696
ei,root,625
öh,advmod,11
witzigen,amod,1
gummi,root,34
ah,nsubj,166
nee,flat,535
mer,flat:name,34
weiß,root,3775
eigentlich,advmod,2628
wenig,obj,23
corinna,obj,208
nee,cc,734
will,aux,2912
fernsehen,root,28
meinst,root,2063
platsch,root,16
nicht,root,1843
halte,root,53
reagieren,root,5
wie,mark,1221
immer,advcl,28
verstehen,conj,7
stefan,root,90
gleich,advmod,5124
umwerfen,root,10
!,punct,46506
stefan,obj,48
buch,nsubj,173
hm,obj,928
dir,obj,2804
alles,root,747
mir,flat:name,37
alle,det,1303
rote,amod,521
stifte,root,39
willst,aux,5297
beide,obj,128
sind,cop,12461
mein,root,165
jo,root,149
ist,root,5053
rein,root,299
hm,flat,95
den,root,465
wein,obj,11
das,obj,29706
einmal,advmod,2254
angucken,root,915
les,root,18
mir,obj,2743
vor,compound:prt,639
vorlesen,root,239
nee,root,5819
les,flat,2
aus,case,3303
vor,nmod,1
lies,root,126
hält,root,320
kamera,obl,86
klar,root,381
hier,root,3477
du,root,2609
eh,root,324
ih,flat,12
ui,nsubj,143
da,flat:name,17
kuh,nsubj,452
macht,conj,327
mama,nsubj,3958
mer,obj,239
ein,compound:prt,1099
eins,appos,74
muss,aux,7959
mer,nsubj,3636
kräftig,advmod,264
keins,root,6
heult,root,15
dermaßen,advmod,6
hält,advmod,43
joi,flat:name,15
drüber,advmod,417
lachen,root,90
komische,amod,90
brücke,root,149
über,case,1191
bräuchst,root,1
was,det,1355
längeres,obj,2
hühner,root,67
hahn,conj,11
ei,nsubj,261
schön,advmod,4852
fein,root,272
siehst,root,2831
de,obj,523
buchhalde,root,1
kleine,root,162
echt,advmod,883
baby,root,530
äh,advmod,1137
pferd,root,393
bau,root,267
halle,root,35
hei,root,96
kuh,root,335
kuh,appos,57
beides,obj,34
geschafft,root,187
bilderbuch,obj,223
frisch,advmod,71
gewaschen,root,139
waschen,root,490
franz,nsubj,8
lass,root,2053
daumen,obj,19
zu,case,4582
seiner,det,128
freundin,root,51
lilo,flat:name,1
schwarz,flat:name,4
vergnügt,advmod,5
am,case,2783
wasserfass,obl,1
spritzt,conj,8
de,det,19
füssen,obl,83
nass,advmod,226
süssen,amod,4
kirschen,obj,47
futtern,root,5
kleckern,conj,1
dabei,advmod,518
nie,advcl,5
bilderbuch,nsubj,31
lesen,root,422
bin,cop,2666
ende,obl,242
sind,aux,257
beiden,nsubj,135
bnoch,advmod,1
schwer,advmod,521
unterscheiden,root,16
ach,discourse,104
mach,root,5189
wie,ccomp,77
ferkelchen,root,8
beide,appos,170
hm,nsubj,1892
drück,root,136
richtige,amod,244
junge,root,256
oah,root,119
schatzi,flat:name,7
mann,appos,402
schnell,advmod,2399
kaputt,compound:prt,420
doch,root,1430
kaputt,xcomp,415
hab,root,2406
will,xcomp,4
koffer,nsubj,39
ham,advmod,108
darfst,aux,798
koffer,root,60
wieso,root,208
fehlt,root,767
nix,nsubj,271
großes,root,42
brauch,root,293
großes,obj,35
du,conj,164
kleines,obj,41
laster,root,65
tjaqo,iobj,1
gegeben,root,283
suchst,root,313
wasserbombe,root,3
die,root,952
net,advmod,1713
wo,ccomp,851
äh,root,525
hä,flat:name,141
hat,root,7194
ouh,advmod,4
geschafft,ccomp,10
groß,root,911
gibst,parataxis,8
ruhe,obl,134
wozu,root,28
dich,obl,519
behalten,root,93
ist,aux,1730
wackeln,root,16
willst,advcl,116
gebe,parataxis,18
uns,iobj,831
l,obj,20
hm,appos,281
ihr,nsubj,4711
dürft,root,8
nix,obj,815
dürft,conj,1
super,amod,98
eisxxstation,root,1
super,root,646
festgexx,root,1
weißt,root,3906
wiees,nsubj,1
geht,ccomp,845
stein,obj,70
corinna,nsubj,305
kriegst,root,880
hier,obj,11
sind,root,627
mehr,det,980
leute,nsubj,731
das,root,4256
hätte,aux,418
sich,obj,2108
hingesetzt,root,26
nach,root,33
das,conj,352
dem,obj,184
seine,det,528
kabine,nsubj,4
muss,root,1761
etwas,advmod,417
fester,advmod,13
der,root,734
nehmen,root,1930
gehören,root,188
dir,conj,18
jo,nsubj,49
der,flat:name,646
aufpassen,root,458
bräucht,root,9
